MasterID,WeekNumber,CollectionDate,SRR,GenSex,GenStock,BioScaleFinalAge,BioSamplesID,SpawnYear,LGDFLmm,GenRear,LGDLifeStage,GenStockProb,GenParentHatchery,GenBY,GenRun,LGDMarkAD,Rear,MPG,fwAge
666485,20,2025-05-13,32W,M,GRROND,2:0,25-70792,MY2025,161,U,JV,0.665,NA,NA,NA,AI,W,GRROND,2
666704,22,2025-05-30,32W,F,IMNAHA,2:0,25-71011,MY2025,176,U,JV,0.988,NA,NA,NA,AI,W,IMNAHA,2
666661,22,2025-05-28,32W,M,SFSALM,2:0,25-70968,MY2025,170,U,JV,0.945,NA,NA,NA,AI,W,SALMON,2
666221,19,2025-05-06,32W,F,UPCLWR,2:0,25-70528,MY2025,157,U,JV,0.958,NA,NA,NA,AI,W,CLRWTR,2
666307,19,2025-05-08,32W,F,LSNAKE,3:0,25-70614,MY2025,164,U,JV,0.377,NA,NA,NA,AI,W,LSNAKE,3
666643,22,2025-05-27,32W,F,IMNAHA,2:0,25-70950,MY2025,185,U,JV,0.647,NA,NA,NA,AI,W,IMNAHA,2
666444,20,2025-05-13,32W,F,GRROND,2:0,25-70751,MY2025,172,U,JV,0.593,NA,NA,NA,AI,W,GRROND,2
666026,17,2025-04-25,32W,M,LSNAKE,2:0,25-70333,MY2025,176,U,JV,0.616,NA,NA,NA,AI,W,LSNAKE,2
665990,17,2025-04-22,32W,M,UPSALM,2:0,25-70297,MY2025,212,U,JV,0.492,NA,NA,NA,AI,W,SALMON,2
665817,15,2025-04-08,32W,M,GRROND,2:0,25-70123,MY2025,158,U,JV,0.792,NA,NA,NA,AI,W,GRROND,2
665878,16,2025-04-15,32W,M,UPSALM,2:0,25-70185,MY2025,186,U,JV,0.732,NA,NA,NA,AI,W,SALMON,2
666637,22,2025-05-26,32W,M,LSNAKE,1:0,25-70944,MY2025,160,U,JV,0.609,NA,NA,NA,AI,W,LSNAKE,1
666428,20,2025-05-12,32W,F,GRROND,3:0,25-70735,MY2025,250,U,JV,0.944,NA,NA,NA,AI,W,GRROND,3
666694,22,2025-05-30,32W,M,MFSALM,3:0,25-71001,MY2025,160,U,JV,0.985,NA,NA,NA,AI,W,SALMON,3
666719,23,2025-06-02,32W,M,GRROND,1:0,25-71026,MY2025,176,U,JV,0.998,NA,NA,NA,AI,W,GRROND,1
666341,19,2025-05-09,32W,F,SFCLWR,4:0,25-70648,MY2025,177,U,JV,0.991,NA,NA,NA,AI,W,CLRWTR,4
666709,23,2025-06-02,32W,F,UPSALM,2:0,25-71016,MY2025,170,U,JV,0.944,NA,NA,NA,AI,W,SALMON,2
666500,20,2025-05-14,32W,M,UPCLWR,2:0,25-70807,MY2025,153,U,JV,0.922,NA,NA,NA,AI,W,CLRWTR,2
666046,18,2025-04-28,32W,M,GRROND,3:0,25-70353,MY2025,194,U,JV,0.509,NA,NA,NA,AI,W,GRROND,3
666566,21,2025-05-19,32W,F,UPSALM,2:0,25-70873,MY2025,155,U,JV,0.537,NA,NA,NA,AI,W,SALMON,2
666611,21,2025-05-23,32W,F,SFCLWR,4:0,25-70918,MY2025,169,U,JV,0.758,NA,NA,NA,AI,W,CLRWTR,4
665952,16,2025-04-18,32W,F,LSNAKE,3:0,25-70259,MY2025,179,U,JV,0.7,NA,NA,NA,AI,W,LSNAKE,3
666261,19,2025-05-07,32W,F,SFCLWR,2:0,25-70568,MY2025,183,U,JV,0.993,NA,NA,NA,AI,W,CLRWTR,2
666107,18,2025-05-01,32W,M,LSNAKE,2:0,25-70414,MY2025,198,U,JV,0.665,NA,NA,NA,AI,W,LSNAKE,2
666301,19,2025-05-08,32W,F,IMNAHA,2:0,25-70608,MY2025,189,U,JV,0.705,NA,NA,NA,AI,W,IMNAHA,2
666303,19,2025-05-08,32W,F,SFCLWR,2:0,25-70610,MY2025,186,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,2
666227,19,2025-05-06,32W,F,SFCLWR,2:0,25-70534,MY2025,145,U,JV,0.992,NA,NA,NA,AI,W,CLRWTR,2
666479,20,2025-05-13,32W,M,UPCLWR,2:0,25-70786,MY2025,163,U,JV,0.988,NA,NA,NA,AI,W,CLRWTR,2
666613,21,2025-05-23,32H,F,GRROND,2:0,25-70920,MY2025,200,H,JV,0.755,NA,NA,NA,AI,HNC,GRROND,2
665940,16,2025-04-17,32W,F,UPSALM,2:0,25-70247,MY2025,213,U,JV,0.714,NA,NA,NA,AI,W,SALMON,2
666024,17,2025-04-24,32W,M,UPCLWR,3:0,25-70331,MY2025,180,U,JV,0.936,NA,NA,NA,AI,W,CLRWTR,3
666025,17,2025-04-24,32W,F,SFSALM,3:0,25-70332,MY2025,189,U,JV,0.67,NA,NA,NA,AI,W,SALMON,3
666499,20,2025-05-14,32W,F,GRROND,2:0,25-70806,MY2025,173,U,JV,0.96,NA,NA,NA,AI,W,GRROND,2
666295,19,2025-05-08,32W,F,MFSALM,3:0,25-70602,MY2025,210,U,JV,0.962,NA,NA,NA,AI,W,SALMON,3
666505,20,2025-05-14,32W,M,GRROND,2:0,25-70812,MY2025,183,U,JV,0.735,NA,NA,NA,AI,W,GRROND,2
666739,24,2025-06-12,32W,F,UPSALM,1:0,25-71046,MY2025,170,U,JV,0.668,NA,NA,NA,AI,W,SALMON,1
666217,19,2025-05-05,32W,F,SFCLWR,2:0,25-70524,MY2025,199,U,JV,0.91,NA,NA,NA,AI,W,CLRWTR,2
666119,18,2025-05-01,32W,F,LSNAKE,2:0,25-70426,MY2025,157,U,JV,0.519,NA,NA,NA,AI,W,LSNAKE,2
666660,22,2025-05-28,32W,F,GRROND,1:0,25-70967,MY2025,177,U,JV,0.706,NA,NA,NA,AI,W,GRROND,1
666106,18,2025-05-01,32W,M,SFSALM,3:0,25-70413,MY2025,204,U,JV,0.975,NA,NA,NA,AI,W,SALMON,3
666651,22,2025-05-27,32W,M,GRROND,2:0,25-70958,MY2025,172,U,JV,0.481,NA,NA,NA,AI,W,GRROND,2
666013,17,2025-04-24,32W,M,UPSALM,2:0,25-70320,MY2025,182,U,JV,0.94,NA,NA,NA,AI,W,SALMON,2
666016,17,2025-04-24,32W,F,UPSALM,3:0,25-70323,MY2025,187,U,JV,0.646,NA,NA,NA,AI,W,SALMON,3
666048,18,2025-04-28,32W,M,SFCLWR,2:0,25-70355,MY2025,182,U,JV,0.994,NA,NA,NA,AI,W,CLRWTR,2
666587,21,2025-05-21,32W,F,UPSALM,1:0,25-70894,MY2025,157,U,JV,0.536,NA,NA,NA,AI,W,SALMON,1
666375,20,2025-05-12,32W,F,GRROND,2:0,25-70682,MY2025,225,U,JV,0.881,NA,NA,NA,AI,W,GRROND,2
666664,22,2025-05-29,32W,M,IMNAHA,2:0,25-70971,MY2025,167,U,JV,0.993,NA,NA,NA,AI,W,IMNAHA,2
665972,16,2025-04-18,32W,M,LSNAKE,2:0,25-70279,MY2025,187,U,JV,0.73,NA,NA,NA,AI,W,LSNAKE,2
666417,20,2025-05-12,32W,F,UPSALM,N:A,25-70724,MY2025,211,U,JV,0.906,NA,NA,NA,AI,W,SALMON,NA
666451,20,2025-05-13,32W,M,GRROND,2:0,25-70758,MY2025,163,U,JV,0.517,NA,NA,NA,AI,W,GRROND,2
666196,19,2025-05-05,32W,F,SFCLWR,2:0,25-70503,MY2025,173,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,2
666246,19,2025-05-06,32W,F,GRROND,1:0,25-70553,MY2025,168,U,JV,0.579,NA,NA,NA,AI,W,GRROND,1
666187,19,2025-05-05,32W,F,UPCLWR,3:0,25-70494,MY2025,171,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,3
666512,20,2025-05-15,32W,F,GRROND,2:0,25-70819,MY2025,173,U,JV,0.793,NA,NA,NA,AI,W,GRROND,2
666726,23,2025-06-04,32W,M,GRROND,3:0,25-71033,MY2025,223,U,JV,0.99,NA,NA,NA,AI,W,GRROND,3
666617,21,2025-05-23,32W,F,IMNAHA,1:0,25-70924,MY2025,147,U,JV,0.788,NA,NA,NA,AI,W,IMNAHA,1
665980,17,2025-04-21,32W,M,UPSALM,2:0,25-70287,MY2025,207,U,JV,0.646,NA,NA,NA,AI,W,SALMON,2
665910,16,2025-04-16,32W,F,GRROND,2:0,25-70217,MY2025,153,U,JV,0.955,NA,NA,NA,AI,W,GRROND,2
666254,19,2025-05-07,32W,F,LOCLWR,2:0,25-70561,MY2025,230,U,JV,0.525,NA,NA,NA,AI,W,CLRWTR,2
666517,20,2025-05-15,32W,M,SFCLWR,3:0,25-70824,MY2025,183,U,JV,0.978,NA,NA,NA,AI,W,CLRWTR,3
666652,22,2025-05-27,32W,F,SFSALM,4:0,25-70959,MY2025,191,U,JV,0.695,NA,NA,NA,AI,W,SALMON,4
666703,22,2025-05-30,32W,F,GRROND,2:0,25-71010,MY2025,229,U,JV,0.414,NA,NA,NA,AI,W,GRROND,2
666571,21,2025-05-20,32W,F,GRROND,2:0,25-70878,MY2025,163,U,JV,0.768,NA,NA,NA,AI,W,GRROND,2
666489,20,2025-05-13,32W,M,SFCLWR,2:0,25-70796,MY2025,151,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,2
665977,17,2025-04-21,32W,M,GRROND,3:0,25-70284,MY2025,200,U,JV,0.854,NA,NA,NA,AI,W,GRROND,3
666659,22,2025-05-28,32W,F,UPSALM,2:0,25-70966,MY2025,189,U,JV,0.558,NA,NA,NA,AI,W,SALMON,2
666543,21,2025-05-19,32W,F,SFSALM,2:0,25-70850,MY2025,158,U,JV,0.999,NA,NA,NA,AI,W,SALMON,2
666446,20,2025-05-13,32W,M,LSNAKE,2:0,25-70753,MY2025,165,U,JV,0.324,NA,NA,NA,AI,W,LSNAKE,2
666124,18,2025-05-01,32W,F,SFCLWR,2:0,25-70431,MY2025,152,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,2
665805,15,2025-04-08,32W,F,IMNAHA,3:0,25-70111,MY2025,193,U,JV,0.522,NA,NA,NA,AI,W,IMNAHA,3
666464,20,2025-05-13,32W,F,UPSALM,2:0,25-70771,MY2025,177,U,JV,0.971,NA,NA,NA,AI,W,SALMON,2
665919,16,2025-04-17,32W,F,UPSALM,3:0,25-70226,MY2025,203,U,JV,0.422,NA,NA,NA,AI,W,SALMON,3
666021,17,2025-04-24,32W,F,UPCLWR,2:0,25-70328,MY2025,159,U,JV,0.982,NA,NA,NA,AI,W,CLRWTR,2
666108,18,2025-05-01,32W,F,UPCLWR,2:0,25-70415,MY2025,188,U,JV,0.964,NA,NA,NA,AI,W,CLRWTR,2
666536,21,2025-05-19,32W,M,LSNAKE,1:0,25-70843,MY2025,177,U,JV,0.386,NA,NA,NA,AI,W,LSNAKE,1
666542,21,2025-05-19,32W,M,GRROND,N:A,25-70849,MY2025,169,U,JV,0.684,NA,NA,NA,AI,W,GRROND,NA
666724,23,2025-06-04,32W,F,GRROND,2:0,25-71031,MY2025,167,U,JV,0.694,NA,NA,NA,AI,W,GRROND,2
666271,19,2025-05-07,32W,M,UPSALM,1:0,25-70578,MY2025,158,U,JV,0.898,NA,NA,NA,AI,W,SALMON,1
666082,18,2025-04-30,32W,F,UPCLWR,3:0,25-70389,MY2025,195,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,3
665819,15,2025-04-08,32W,F,UPCLWR,3:0,25-70125,MY2025,223,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,3
666355,20,2025-05-12,32W,F,SFSALM,2:0,25-70662,MY2025,160,U,JV,0.392,NA,NA,NA,AI,W,SALMON,2
666437,20,2025-05-12,32W,M,SFCLWR,2:0,25-70744,MY2025,150,U,JV,0.828,NA,NA,NA,AI,W,CLRWTR,2
666362,20,2025-05-12,32W,M,SFCLWR,2:0,25-70669,MY2025,159,U,JV,0.814,NA,NA,NA,AI,W,CLRWTR,2
666090,18,2025-04-30,32W,M,MFSALM,3:0,25-70397,MY2025,210,U,JV,0.996,NA,NA,NA,AI,W,SALMON,3
665840,15,2025-04-11,32W,F,LSNAKE,2:0,25-70146,MY2025,155,U,JV,0.664,NA,NA,NA,AI,W,LSNAKE,2
666443,20,2025-05-13,32W,F,LSNAKE,3:0,25-70750,MY2025,163,U,JV,0.763,NA,NA,NA,AI,W,LSNAKE,3
666208,19,2025-05-05,32W,F,MFSALM,2:0,25-70515,MY2025,164,U,JV,0.999,NA,NA,NA,AI,W,SALMON,2
666404,20,2025-05-12,32W,F,MFSALM,3:0,25-70711,MY2025,167,U,JV,0.905,NA,NA,NA,AI,W,SALMON,3
666379,20,2025-05-12,32W,M,UPSALM,2:0,25-70686,MY2025,155,U,JV,0.383,NA,NA,NA,AI,W,SALMON,2
666397,20,2025-05-12,32W,M,GRROND,2:0,25-70704,MY2025,195,U,JV,0.753,NA,NA,NA,AI,W,GRROND,2
666456,20,2025-05-13,32W,M,MFSALM,2:0,25-70763,MY2025,179,U,JV,0.948,NA,NA,NA,AI,W,SALMON,2
666457,20,2025-05-13,32W,F,IMNAHA,2:0,25-70764,MY2025,167,U,JV,0.72,NA,NA,NA,AI,W,IMNAHA,2
666477,20,2025-05-13,32W,F,GRROND,2:0,25-70784,MY2025,192,U,JV,0.552,NA,NA,NA,AI,W,GRROND,2
666619,21,2025-05-23,32W,F,GRROND,2:0,25-70926,MY2025,223,U,JV,0.738,NA,NA,NA,AI,W,GRROND,2
666498,20,2025-05-14,32W,F,LOSALM,4:0,25-70805,MY2025,190,U,JV,0.744,NA,NA,NA,AI,W,SALMON,4
666534,20,2025-05-16,32W,M,SFCLWR,2:0,25-70841,MY2025,147,U,JV,0.995,NA,NA,NA,AI,W,CLRWTR,2
666531,20,2025-05-16,32W,F,GRROND,1:0,25-70838,MY2025,167,U,JV,0.667,NA,NA,NA,AI,W,GRROND,1
666644,22,2025-05-27,32W,M,UPSALM,2:0,25-70951,MY2025,191,U,JV,0.966,NA,NA,NA,AI,W,SALMON,2
666751,25,2025-06-18,32W,F,UPSALM,2:0,25-71058,MY2025,178,U,JV,0.355,NA,NA,NA,AI,W,SALMON,2
665794,15,2025-04-07,32W,F,GRROND,3:0,25-70100,MY2025,221,U,JV,0.913,NA,NA,NA,AI,W,GRROND,3
666321,19,2025-05-08,32W,F,UPCLWR,3:0,25-70628,MY2025,181,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,3
666235,19,2025-05-06,32W,M,GRROND,3:0,25-70542,MY2025,244,U,JV,0.774,NA,NA,NA,AI,W,GRROND,3
666740,24,2025-06-12,32W,F,GRROND,2:0,25-71047,MY2025,190,U,JV,0.855,NA,NA,NA,AI,W,GRROND,2
666576,21,2025-05-20,32W,F,LOCLWR,3:0,25-70883,MY2025,209,U,JV,0.598,NA,NA,NA,AI,W,CLRWTR,3
666605,21,2025-05-22,32W,F,UPCLWR,2:0,25-70912,MY2025,171,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,2
666614,21,2025-05-23,32W,F,GRROND,2:0,25-70921,MY2025,176,U,JV,0.808,NA,NA,NA,AI,W,GRROND,2
666749,25,2025-06-16,32W,M,GRROND,2:0,25-71056,MY2025,185,U,JV,0.508,NA,NA,NA,AI,W,GRROND,2
666461,20,2025-05-13,32W,F,GRROND,1:0,25-70768,MY2025,150,U,JV,0.719,NA,NA,NA,AI,W,GRROND,1
666585,21,2025-05-21,32W,M,GRROND,1:0,25-70892,MY2025,165,U,JV,0.491,NA,NA,NA,AI,W,GRROND,1
666744,24,2025-06-12,32W,M,UPSALM,1:0,25-71051,MY2025,195,U,JV,0.393,NA,NA,NA,AI,W,SALMON,1
666311,19,2025-05-08,32W,M,MFSALM,3:0,25-70618,MY2025,189,U,JV,0.999,NA,NA,NA,AI,W,SALMON,3
666527,20,2025-05-16,32W,M,UPSALM,2:0,25-70834,MY2025,153,U,JV,0.996,NA,NA,NA,AI,W,SALMON,2
666669,22,2025-05-29,32W,F,UPSALM,2:0,25-70976,MY2025,163,U,JV,0.501,NA,NA,NA,AI,W,SALMON,2
666482,20,2025-05-13,32W,M,SFCLWR,2:0,25-70789,MY2025,147,U,JV,0.926,NA,NA,NA,AI,W,CLRWTR,2
666050,18,2025-04-28,32W,M,IMNAHA,3:0,25-70357,MY2025,199,U,JV,0.556,NA,NA,NA,AI,W,IMNAHA,3
666689,22,2025-05-29,32W,F,UPCLWR,3:0,25-70996,MY2025,183,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,3
666674,22,2025-05-29,32W,F,GRROND,2:0,25-70981,MY2025,195,U,JV,0.925,NA,NA,NA,AI,W,GRROND,2
666698,22,2025-05-30,32W,F,GRROND,1:0,25-71005,MY2025,166,U,JV,0.7,NA,NA,NA,AI,W,GRROND,1
666717,23,2025-06-02,32W,M,UPSALM,1:0,25-71024,MY2025,177,U,JV,0.985,NA,NA,NA,AI,W,SALMON,1
666715,23,2025-06-02,32W,M,UPSALM,2:0,25-71022,MY2025,179,U,JV,0.749,NA,NA,NA,AI,W,SALMON,2
665943,16,2025-04-17,32W,F,UPCLWR,2:0,25-70250,MY2025,174,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,2
666492,20,2025-05-14,32W,F,SFCLWR,2:0,25-70799,MY2025,145,U,JV,0.672,NA,NA,NA,AI,W,CLRWTR,2
666742,24,2025-06-12,32W,F,UPSALM,2:0,25-71049,MY2025,211,U,JV,0.702,NA,NA,NA,AI,W,SALMON,2
666447,20,2025-05-13,32W,F,GRROND,2:0,25-70754,MY2025,149,U,JV,0.782,NA,NA,NA,AI,W,GRROND,2
666459,20,2025-05-13,32W,M,MFSALM,3:0,25-70766,MY2025,181,U,JV,0.994,NA,NA,NA,AI,W,SALMON,3
666723,23,2025-06-03,32W,F,GRROND,1:0,25-71030,MY2025,199,U,JV,0.993,NA,NA,NA,AI,W,GRROND,1
666603,21,2025-05-22,32W,F,IMNAHA,2:0,25-70910,MY2025,162,U,JV,0.94,NA,NA,NA,AI,W,IMNAHA,2
666121,18,2025-05-01,32W,F,IMNAHA,N:A,25-70428,MY2025,196,U,JV,0.88,NA,NA,NA,AI,W,IMNAHA,NA
666728,23,2025-06-06,32W,M,UPSALM,3:0,25-71035,MY2025,191,U,JV,0.965,NA,NA,NA,AI,W,SALMON,3
666487,20,2025-05-13,32W,F,GRROND,2:0,25-70794,MY2025,166,U,JV,0.497,NA,NA,NA,AI,W,GRROND,2
666596,21,2025-05-21,32W,M,UPSALM,2:0,25-70903,MY2025,166,U,JV,0.5,NA,NA,NA,AI,W,SALMON,2
666589,21,2025-05-21,32W,F,SFSALM,4:0,25-70896,MY2025,198,U,JV,0.997,NA,NA,NA,AI,W,SALMON,4
666591,21,2025-05-21,32W,F,GRROND,2:0,25-70898,MY2025,184,U,JV,0.747,NA,NA,NA,AI,W,GRROND,2
666548,21,2025-05-19,32W,F,GRROND,1:0,25-70855,MY2025,166,U,JV,0.615,NA,NA,NA,AI,W,GRROND,1
666722,23,2025-06-03,32W,F,UPSALM,3:0,25-71029,MY2025,218,U,JV,0.855,NA,NA,NA,AI,W,SALMON,3
666112,18,2025-05-01,32W,F,SFSALM,3:0,25-70419,MY2025,183,U,JV,0.991,NA,NA,NA,AI,W,SALMON,3
666662,22,2025-05-28,32W,F,LOCLWR,2:0,25-70969,MY2025,192,U,JV,0.349,NA,NA,NA,AI,W,CLRWTR,2
666520,20,2025-05-15,32W,F,LSNAKE,1:0,25-70827,MY2025,185,U,JV,0.372,NA,NA,NA,AI,W,LSNAKE,1
666620,21,2025-05-23,32W,M,IMNAHA,2:0,25-70927,MY2025,156,U,JV,0.644,NA,NA,NA,AI,W,IMNAHA,2
666570,21,2025-05-20,32W,M,GRROND,2:0,25-70877,MY2025,156,U,JV,0.931,NA,NA,NA,AI,W,GRROND,2
666579,21,2025-05-20,32W,M,LSNAKE,1:0,25-70886,MY2025,170,U,JV,0.34,NA,NA,NA,AI,W,LSNAKE,1
666735,24,2025-06-11,32W,F,SFCLWR,2:0,25-71042,MY2025,182,U,JV,0.991,NA,NA,NA,AI,W,CLRWTR,2
666530,20,2025-05-16,32W,F,GRROND,2:0,25-70837,MY2025,157,U,JV,0.569,NA,NA,NA,AI,W,GRROND,2
666553,21,2025-05-19,32W,M,GRROND,2:0,25-70860,MY2025,175,U,JV,0.469,NA,NA,NA,AI,W,GRROND,2
666370,20,2025-05-12,32W,M,LSNAKE,2:0,25-70677,MY2025,201,U,JV,0.327,NA,NA,NA,AI,W,LSNAKE,2
666372,20,2025-05-12,32W,F,MFSALM,3:0,25-70679,MY2025,170,U,JV,0.998,NA,NA,NA,AI,W,SALMON,3
666629,22,2025-05-26,32W,F,GRROND,2:0,25-70936,MY2025,170,U,JV,0.651,NA,NA,NA,AI,W,GRROND,2
666747,24,2025-06-13,32W,F,IMNAHA,3:0,25-71054,MY2025,222,U,JV,0.636,NA,NA,NA,AI,W,IMNAHA,3
665777,14,2025-04-03,32W,M,UPCLWR,2:0,25-70083,MY2025,194,U,JV,0.997,NA,NA,NA,AI,W,CLRWTR,2
666440,20,2025-05-13,32W,F,GRROND,2:0,25-70747,MY2025,148,U,JV,0.59,NA,NA,NA,AI,W,GRROND,2
666573,21,2025-05-20,32W,F,GRROND,1:0,25-70880,MY2025,201,U,JV,0.698,NA,NA,NA,AI,W,GRROND,1
665823,15,2025-04-09,32W,M,GRROND,2:0,25-70129,MY2025,155,U,JV,0.887,NA,NA,NA,AI,W,GRROND,2
